clnt_NBR	merch_subctg	count(*) /review
100000003	瑜伽	1
100000003	维修保养	1
100000003	综合商场	1
100000003	网吧网咖	5
100000003	美容/SPA	1
100000003	羽毛球馆	2
100000003	舒适型	1
100000003	蟹宴	2
100000003	衣物/皮具洗护	3
100000003	西餐	4
100000003	豪华型	7
100000003	超市/便利店	1
100000003	酒吧	1
100000003	面包甜点	6
100000003	高档型	1
100000004	4S店/汽车销售	2
100000004	KTV	3
100000004	东北菜	1
100000004	东南亚菜	3
100000004	中医养生	2
100000004	五星级酒店	1
100000004	体检中心	1
100000004	体育场馆	1
100000004	停车场	2
100000004	健身中心	1
100000004	其他	2
100000004	化妆品	1
100000004	医院	1
100000004	咖啡厅	1
100000004	四星级酒店	3
100000004	婚戒首饰	7
100000004	家政	3
100000004	家用电器	5
100000004	小吃快餐	4
100000004	数码产品	6
100000004	旅行社	1
100000004	本帮江浙菜	1
100000004	桌球馆	3
100000004	汽车美容	1
100000004	洗浴	1
100000004	洗车	3
100000004	海鲜	1
100000004	游乐游艺	2
100000004	游泳馆	1
100000004	湘菜	1
100000004	烧烤	4
100000004	珠宝饰品	2
100000004	素菜	1
100000004	纹身	1
100000004	维修保养	1
100000004	综合商场	2
100000004	网吧网咖	4
100000004	美容/SPA	2
100000004	羽毛球馆	4
100000004	自助餐	1
100000004	蟹宴	2
100000004	衣物/皮具洗护	1
100000004	西餐	1
100000004	超市/便利店	1
100000004	足疗按摩	3
100000004	轰趴馆	1
100000004	运动户外	1
100000004	酒吧	1
100000004	面包甜点	1
100000004	高档型	1
100000005	4S店/汽车销售	4
100000005	KTV	6
100000005	东北菜	4
100000005	中医养生	2
100000005	五星级酒店	6
100000005	体育场馆	2
100000005	保龄球馆	1
100000005	停车场	5
100000005	健身中心	1
100000005	公寓式酒店	1
100000005	其他	6
100000005	咖啡厅	1
100000005	品牌折扣店	1
100000005	四星级酒店	1
100000005	婚戒首饰	3
100000005	家用电器	3
100000005	小吃快餐	1
100000005	展馆展览	1
100000005	录音棚	2
100000005	数码产品	4
100000005	更多休闲娱乐	1
100000005	本帮江浙菜	1
100000005	桌球馆	1
100000005	汽车租赁	1
100000005	汽车美容	2
100000005	洗车	1
100000005	游乐游艺	3
100000005	游泳馆	1
100000005	烧烤	1
100000005	珠宝饰品	1
100000005	纹身	2
100000005	网吧网咖	1
100000005	美容/SPA	1
100000005	羽毛球馆	3
100000005	自助餐	2
100000005	舒适型	1
100000005	蟹宴	1
100000005	衣物/皮具洗护	1
100000005	豪华型	3
100000005	超市/便利店	2
100000005	足疗按摩	1
100000005	轰趴馆	3
100000005	青年旅舍	1
100000005	面包甜点	8
100000005	高档型	2
100000006	4S店/汽车销售	4
100000006	KTV	1
100000006	三星级酒店	1
100000006	东北菜	3
100000006	五星级酒店	1
100000006	亲子购物	2
100000006	体育场馆	1
100000006	保龄球馆	1
100000006	停车场	3
100000006	公寓式酒店	1
100000006	其他	1
100000006	品牌折扣店	1
100000006	四星级酒店	3
100000006	婚戒首饰	2
100000006	婚车租赁	1
100000006	家政	4
100000006	家用电器	4
100000006	展馆展览	1
100000006	快照/冲印	2
100000006	数码产品	3
100000006	文化艺术	1
100000006	景点	1
100000006	服饰鞋包	2
100000006	武术场馆	1
100000006	汽车美容	1
100000006	洗浴	1
100000006	洗车	1
100000006	温泉	1
100000006	游乐游艺	3
100000006	游泳馆	1
100000006	火锅	2
100000006	珠宝饰品	3
100000006	瑜伽	2
100000006	素菜	4
100000006	综合商场	1
100000006	网吧网咖	1
100000006	美容/SPA	1
100000006	羽毛球馆	1
100000006	舞蹈	1
100000006	蟹宴	4
100000006	西北菜	2
100000006	西餐	3
100000006	豪华型	4
100000006	超市/便利店	4
100000006	足疗按摩	2
100000006	轰趴馆	2
100000006	酒吧	1
100000006	青年旅舍	1
100000006	面包甜点	4
100000006	高档型	4
100000007	4S店/汽车销售	3
100000007	KTV	2
100000007	三星级酒店	1
100000007	中医养生	2
100000007	五星级酒店	3
100000007	停车场	1
100000007	健身中心	1
100000007	公寓式酒店	1
100000007	医院	1
100000007	台湾菜	1
100000007	咖啡厅	1
100000007	品牌折扣店	3
100000007	四星级酒店	5
100000007	婚戒首饰	2
100000007	孕产护理	1
100000007	家政	4
100000007	家用电器	4
100000007	小吃快餐	3
100000007	展馆展览	1
100000007	快照/冲印	2
100000007	数码产品	3
100000007	旅行社	2
100000007	景点	2
100000007	武术场馆	2
100000007	江西菜	3
100000007	汽车美容	6
100000007	海鲜	3
100000007	游乐游艺	1
100000007	游泳馆	2
100000007	珠宝饰品	5
100000007	网吧网咖	5
100000007	羽毛球馆	2
100000007	舞蹈	1
100000007	衣物/皮具洗护	1
100000007	西北菜	2
100000007	西餐	2
100000007	豪华型	3
100000007	超市/便利店	1
100000007	足疗按摩	2
100000007	轰趴馆	1
100000007	酒吧	1
100000007	青年旅舍	1
100000007	面包甜点	6
100000007	高档型	1
100000008	4S店/汽车销售	3
100000008	DIY手工坊	1
100000008	KTV	1
100000008	东北菜	3
100000008	中医养生	2
100000008	五星级酒店	2
100000008	停车场	3
100000008	其他	2
100000008	医院	1
100000008	四星级酒店	1
100000008	婚戒首饰	10
100000008	家政	3
100000008	家用电器	2
100000008	小吃快餐	1
100000008	展馆展览	1
100000008	快照/冲印	3
100000008	数码产品	4
100000008	文化艺术	1
100000008	旅行社	3
100000008	景点	1
100000008	桌球馆	3
100000008	武术场馆	1
100000008	汽车美容	2
100000008	洗浴	1
100000008	洗车	2
100000008	温泉	1
100000008	游乐游艺	5
100000008	游泳馆	2
100000008	火锅	2
100000008	烧烤	1
100000008	粤菜	1
100000008	素菜	1
100000008	综合商场	1
100000008	网吧网咖	1
100000008	羽毛球馆	3
100000008	舒适型	2
100000008	蟹宴	5
100000008	衣物/皮具洗护	1
100000008	西北菜	1
100000008	西餐	1
100000008	豪华型	1
100000008	超市/便利店	1
100000008	配件/车饰	2
100000008	面包甜点	9
100000008	高档型	2
100000009	4S店/汽车销售	1
100000009	DIY手工坊	2
100000009	KTV	2
100000009	三星级酒店	1
100000009	东北菜	1
100000009	五星级酒店	4
100000009	体检中心	1
100000009	健身中心	1
100000009	其他	2
100000009	医院	1
100000009	四星级酒店	2
100000009	婚戒首饰	2
100000009	婚纱礼服	1
100000009	婚车租赁	1
100000009	孕产护理	1
100000009	家政	4
100000009	家用电器	1
100000009	小吃快餐	3
100000009	快照/冲印	2
100000009	数码产品	3
100000009	旅行社	3
100000009	景点	1
100000009	桌球馆	2
100000009	武术场馆	1
100000009	江西菜	2
100000009	汽车租赁	1
100000009	汽车美容	2
100000009	洗车	3
100000009	游乐游艺	2
100000009	游泳馆	4
100000009	火锅	1
100000009	烧烤	2
100000009	珠宝饰品	6
100000009	综合商场	2
100000009	网吧网咖	6
100000009	羽毛球馆	3
100000009	舒适型	1
100000009	舞蹈	2
100000009	西餐	2
100000009	豪华型	4
100000009	足疗按摩	1
100000009	面包甜点	7
100000009	高档型	6
100000010	4S店/汽车销售	3
100000010	KTV	2
100000010	中医养生	2
100000010	停车场	4
100000010	健身中心	1
100000010	台湾菜	1
100000010	四星级酒店	6
100000010	婚戒首饰	3
100000010	家政	4
100000010	家用电器	4
100000010	小吃快餐	3
100000010	快照/冲印	3
100000010	数码产品	2
100000010	更多运动场馆	1
100000010	桌球馆	2
100000010	汽车美容	3
100000010	洗车	2
100000010	温泉	3
100000010	游乐游艺	2
100000010	游泳馆	5
100000010	火锅	2
100000010	烧烤	2
100000010	珠宝饰品	2
100000010	维修保养	1
100000010	综合商场	1
100000010	美容/SPA	2
100000010	美甲美睫	1
100000010	羽毛球馆	1
100000010	蟹宴	5
100000010	衣物/皮具洗护	1
100000010	西餐	2
100000010	豪华型	5
100000010	超市/便利店	3
100000010	轰趴馆	1
100000010	运动户外	1
100000010	配件/车饰	1
100000010	酒吧	1
100000010	面包甜点	5
100000010	高档型	7
100000011	4S店/汽车销售	2
100000011	KTV	1
100000011	东北菜	2
100000011	五星级酒店	2
100000011	停车场	2
100000011	公寓式酒店	2
100000011	其他	2
100000011	医院	1
100000011	台湾菜	1
100000011	四星级酒店	5
100000011	婚戒首饰	7
100000011	婚纱礼服	1
100000011	婚车租赁	1
100000011	孕产护理	1
100000011	家政	1
100000011	家用电器	2
100000011	小吃快餐	2
100000011	展馆展览	1
100000011	快照/冲印	3
100000011	数码产品	3
100000011	旅行社	4
100000011	日本菜	3
100000011	景点	2
100000011	更多运动场馆	1
100000011	桌球馆	3
100000011	洗浴	1
100000011	洗车	1
100000011	游乐游艺	5
100000011	游泳馆	1
100000011	火锅	1
100000011	珠宝饰品	7
100000011	粤菜	3
100000011	美甲美睫	1
100000011	蟹宴	4
100000011	衣物/皮具洗护	1
100000011	西北菜	5
100000011	西餐	2
100000011	豪华型	1
100000011	超市/便利店	2
100000011	足疗按摩	1
100000011	轰趴馆	3
100000011	配件/车饰	1
100000011	酒吧	1
100000011	面包甜点	3
100000011	高档型	1
100000012	4S店/汽车销售	3
100000012	DIY手工坊	2
100000012	中医养生	2
100000012	五星级酒店	5
100000012	亲子购物	2
100000012	保龄球馆	1
100000012	停车场	3
100000012	公寓式酒店	1
100000012	咖啡厅	1
100000012	四星级酒店	3
100000012	婚戒首饰	4
100000012	家政	7
100000012	家用电器	4
100000012	小吃快餐	1
100000012	快照/冲印	3
100000012	数码产品	5
100000012	新疆菜	2
100000012	旅行社	4
100000012	日本菜	3
100000012	桌球馆	1
100000012	汽车租赁	1
100000012	汽车美容	2
100000012	海鲜	1
100000012	游乐游艺	2
100000012	游泳馆	2
100000012	火锅	1
100000012	珠宝饰品	6
100000012	粤菜	1
100000012	维修保养	1
100000012	美容/SPA	5
100000012	美甲美睫	1
100000012	羽毛球馆	2
100000012	舒适型	1
100000012	豪华型	3
100000012	超市/便利店	2
100000012	运动户外	1
100000012	配件/车饰	1
100000012	酒吧	1
100000012	面包甜点	8
100000012	高档型	1
100000013	4S店/汽车销售	3
100000013	KTV	1
100000013	东北菜	1
100000013	五星级酒店	3
100000013	体育场馆	2
100000013	保龄球馆	1
100000013	健身中心	1
100000013	化妆品	1
100000013	台湾菜	1
100000013	咖啡厅	3
100000013	四星级酒店	4
100000013	婚戒首饰	2
100000013	孕产护理	1
100000013	家政	4
100000013	家用电器	4
100000013	小吃快餐	4
100000013	快照/冲印	1
100000013	数码产品	3
100000013	文化艺术	2
100000013	新疆菜	1
100000013	旅行社	3
100000013	日本菜	1
100000013	更多运动场馆	2
100000013	桌球馆	3
100000013	汽车美容	2
100000013	洗车	3
100000013	海鲜	3
100000013	游乐游艺	4
100000013	游泳馆	1
100000013	湘菜	1
100000013	珠宝饰品	3
100000013	网吧网咖	4
100000013	美容/SPA	1
100000013	美甲美睫	1
100000013	羽毛球馆	3
100000013	自助餐	1
100000013	蟹宴	2
100000013	衣物/皮具洗护	1
100000013	豪华型	3
100000013	运动户外	1
100000013	配件/车饰	3
100000013	青年旅舍	3
100000013	面包甜点	6
100000013	高档型	2
100000014	4S店/汽车销售	2
100000014	个性写真	1
100000014	五星级酒店	1
100000014	亲子购物	1
100000014	体检中心	2
100000014	体育场馆	2
100000014	保龄球馆	1
100000014	健身中心	2
100000014	化妆品	3
100000014	医院	1
100000014	台湾菜	1
100000014	咖啡厅	1
100000014	四星级酒店	6
100000014	婚戒首饰	2
100000014	孕产护理	2
100000014	家政	5
100000014	家用电器	4
100000014	小吃快餐	1
100000014	展馆展览	1
100000014	快照/冲印	2
100000014	数码产品	5
100000014	文化艺术	2
100000014	新疆菜	1
100000014	旅行社	1
100000014	日本菜	3
100000014	更多休闲娱乐	1
100000014	桌球馆	2
100000014	洗车	2
100000014	海鲜	1
100000014	游乐游艺	1
100000014	游泳馆	3
100000014	湘菜	2
100000014	瑜伽	1
100000014	网吧网咖	1
100000014	美发	1
100000014	美容/SPA	2
100000014	美甲美睫	1
100000014	羽毛球馆	2
100000014	自助餐	2
100000014	舒适型	1
100000014	蟹宴	3
100000014	西餐	1
100000014	豪华型	3
100000014	足疗按摩	1
100000014	运动户外	2
100000014	配件/车饰	2
100000014	青年旅舍	1
100000014	面包甜点	6
100000014	高档型	5
100000015	4S店/汽车销售	2
100000015	KTV	4
100000015	五星级酒店	1
100000015	体检中心	1
100000015	健身中心	1
100000015	公寓式酒店	2
100000015	升学辅导	2
100000015	台湾菜	1
100000015	咖啡厅	2
100000015	四星级酒店	8
100000015	婚戒首饰	2
100000015	家政	4
100000015	家用电器	1
100000015	小吃快餐	2
100000015	川菜	1
100000015	快照/冲印	1
100000015	数码产品	3
100000015	新疆菜	1
100000015	旅行社	2
100000015	桌球馆	2
100000015	汽车美容	5
100000015	洗车	4
100000015	游乐游艺	2
100000015	游泳馆	2
100000015	湘菜	2
100000015	珠宝饰品	2
100000015	网吧网咖	3
100000015	美发	2
100000015	美容/SPA	2
100000015	美术培训	2
100000015	羽毛球馆	1
100000015	蟹宴	3
100000015	衣物/皮具洗护	4
100000015	西餐	3
100000015	豪华型	6
100000015	轰趴馆	1
100000015	运动户外	4
100000015	酒吧	1
100000015	青年旅舍	2
100000015	面包甜点	3
100000015	高档型	3
100000016	4S店/汽车销售	2
100000016	云南菜	1
100000016	五星级酒店	5
100000016	体育场馆	1
100000016	健身中心	2
100000016	台湾菜	1
100000016	四星级酒店	1
100000016	婚戒首饰	4
100000016	孕产护理	1
100000016	家常菜	2
100000016	家政	3
100000016	家用电器	6
100000016	小吃快餐	2
100000016	川菜	2
100000016	快照/冲印	1
100000016	数码产品	4
100000016	文化艺术	1
100000016	旅行社	5
100000016	更多运动场馆	1
100000016	服饰鞋包	1
100000016	桌球馆	2
100000016	汽车租赁	1
100000016	汽车美容	3
100000016	洗车	1
100000016	游乐游艺	3
100000016	游泳馆	1
100000016	湘菜	1
100000016	珠宝饰品	1
100000016	网吧网咖	2
100000016	美发	3
100000016	美术培训	1
100000016	羽毛球馆	2
100000016	自助餐	1
100000016	舒适型	1
100000016	舞蹈	1
100000016	蟹宴	3
100000016	衣物/皮具洗护	5
100000016	西餐	2
100000016	豪华型	8
100000016	足疗按摩	2
100000016	轰趴馆	1
100000016	运动户外	3
100000016	面包甜点	5
100000016	高档型	1
100000017	4S店/汽车销售	1
100000017	KTV	1
100000017	个性写真	1
100000017	五星级酒店	1
100000017	停车场	2
100000017	健身中心	1
100000017	公寓式酒店	4
100000017	化妆品	1
100000017	台湾菜	2
100000017	咖啡厅	1
100000017	四星级酒店	6
100000017	婚戒首饰	3
100000017	婚纱礼服	1
100000017	家常菜	2
100000017	家用电器	5
100000017	小吃快餐	2
100000017	川菜	2
100000017	数码产品	2
100000017	旅行社	6
100000017	服饰鞋包	1
100000017	桌球馆	2
100000017	武术场馆	2
100000017	江西菜	1
100000017	汽车美容	2
100000017	洗车	1
100000017	游乐游艺	1
100000017	游泳馆	2
100000017	湘菜	1
100000017	火锅	2
100000017	珠宝饰品	1
100000017	瑜伽	2
100000017	综合商场	1
100000017	网吧网咖	2
100000017	美发	3
100000017	美术培训	1
100000017	羽毛球馆	1
100000017	舒适型	2
100000017	舞蹈	1
100000017	蟹宴	4
100000017	衣物/皮具洗护	2
100000017	西餐	4
100000017	豪华型	2
100000017	轰趴馆	1
100000017	运动户外	2
100000017	配件/车饰	1
100000017	面包甜点	8
100000017	面馆	3
100000018	4S店/汽车销售	3
100000018	KTV	1
100000018	个性写真	1
100000018	云南菜	2
100000018	五星级酒店	3
100000018	健身中心	1
100000018	医院	1
100000018	台湾菜	3
100000018	四星级酒店	3
100000018	回收	1
100000018	婚戒首饰	5
100000018	婚纱礼服	1
100000018	家常菜	3
100000018	家政	2
100000018	小吃快餐	2
100000018	展馆展览	1
100000018	快照/冲印	3
100000018	数码产品	6
100000018	文化艺术	1
100000018	旅行社	1
100000018	桌球馆	3
100000018	武术场馆	1
100000018	江西菜	1
100000018	汽车美容	3
100000018	游乐游艺	5
100000018	游泳馆	3
100000018	火锅	1
100000018	烧烤	1
100000018	珠宝饰品	3
100000018	瑜伽	1
100000018	维修保养	1
100000018	综合商场	1
100000018	美发	1
100000018	美容/SPA	2
100000018	羽毛球馆	1
100000018	自助餐	1
100000018	蟹宴	3
100000018	衣物/皮具洗护	1
100000018	西北菜	3
100000018	西餐	4
100000018	豪华型	1
100000018	超市/便利店	1
100000018	足疗按摩	4
100000018	运动户外	2
100000018	配件/车饰	1
100000018	青年旅舍	2
100000018	面包甜点	1
100000018	马术场	3
100000018	高档型	1
100000019	KTV	3
100000019	中医养生	1
100000019	五星级酒店	1
100000019	亲子购物	1
100000019	停车场	2
100000019	台湾菜	4
100000019	咖啡厅	2
100000019	四星级酒店	2
100000019	回收	2
100000019	婚戒首饰	4
100000019	婚车租赁	1
100000019	家常菜	1
100000019	家政	4
100000019	家用电器	2
100000019	小吃快餐	3
100000019	快照/冲印	1
100000019	数码产品	1
100000019	旅行社	2
100000019	服饰鞋包	1
100000019	桌球馆	1
100000019	武术场馆	2
100000019	江西菜	1
100000019	洗浴	1
100000019	洗车	2
100000019	游乐游艺	2
100000019	游泳馆	1
100000019	湘菜	2
100000019	烧烤	2
100000019	珠宝饰品	4
100000019	瑜伽	1
100000019	维修保养	1
100000019	综合商场	1
100000019	网吧网咖	2
100000019	美容/SPA	1
100000019	羽毛球馆	1
100000019	舒适型	1
100000019	舞蹈	1
100000019	蟹宴	8
100000019	衣物/皮具洗护	1
100000019	西服定制	2
100000019	西餐	2
100000019	豪华型	5
100000019	超市/便利店	1
100000019	足疗按摩	7
100000019	轰趴馆	1
100000019	配件/车饰	1
100000019	青年旅舍	2
100000019	面包甜点	1
100000019	面馆	1
100000019	马术场	1
100000019	高档型	2
100000020	4S店/汽车销售	2
100000020	KTV	3
100000020	云南菜	1
100000020	五星级酒店	4
100000020	停车场	2
100000020	升学辅导	1
100000020	四星级酒店	4
100000020	婚戒首饰	3
100000020	婚纱礼服	1
100000020	家常菜	2
100000020	家政	4
100000020	家用电器	4
100000020	小吃快餐	3
100000020	展馆展览	1
100000020	快照/冲印	1
100000020	数码产品	5
100000020	文化艺术	1
100000020	新疆菜	1
100000020	旅行社	2
100000020	更多购物场所	1
100000020	桌球馆	1
100000020	江西菜	1
100000020	汽车租赁	1
100000020	汽车美容	4
100000020	洗浴	1
100000020	洗车	2
100000020	游乐游艺	3
100000020	火锅	1
100000020	烧烤	2
100000020	珠宝饰品	1
100000020	综合商场	1
100000020	网吧网咖	5
100000020	美术培训	1
100000020	蟹宴	4
100000020	衣物/皮具洗护	1
100000020	西北菜	1
100000020	西服定制	1
100000020	西餐	1
100000020	豪华型	4
100000020	超市/便利店	5
100000020	足疗按摩	3
100000020	运动户外	1
100000020	配件/车饰	4
100000020	面包甜点	4
100000020	马术场	1
100000021	4S店/汽车销售	2
100000021	五星级酒店	2
100000021	亲子购物	1
100000021	体检中心	1
100000021	停车场	5
100000021	化妆品	2
100000021	医院	1
100000021	台湾菜	2
100000021	四星级酒店	6
100000021	婚戒首饰	7
100000021	婚车租赁	1
100000021	孕产护理	1
100000021	家政	2
100000021	家用电器	4
100000021	小吃快餐	1
100000021	数码产品	3
100000021	新疆菜	4
100000021	旅行社	2
100000021	日本菜	1
100000021	更多购物场所	1
100000021	服饰鞋包	1
100000021	桌球馆	2
100000021	江西菜	1
100000021	汽车租赁	1
100000021	洗浴	1
100000021	洗车	2
100000021	海鲜	6
100000021	游乐游艺	2
100000021	游泳馆	2
100000021	湘菜	1
100000021	珠宝饰品	3
100000021	粤菜	2
100000021	经济型	1
100000021	综合商场	1
100000021	网吧网咖	3
100000021	羽毛球馆	4
100000021	舒适型	2
100000021	西北菜	1
100000021	西服定制	1
100000021	西餐	2
100000021	运动户外	2
100000021	配件/车饰	2
100000021	青年旅舍	1
100000021	面包甜点	2
100000021	高档型	5
100000022	4S店/汽车销售	3
100000022	KTV	2
100000022	个性写真	2
100000022	五星级酒店	3
100000022	体检中心	3
100000022	停车场	2
100000022	健身中心	1
100000022	公寓式酒店	1
100000022	其他	1
100000022	医院	1
100000022	台湾菜	3
100000022	四星级酒店	2
100000022	婚戒首饰	2
100000022	家政	3
100000022	家用电器	5
100000022	小吃快餐	5
100000022	快照/冲印	2
100000022	文化艺术	1
100000022	新疆菜	3
100000022	旅行社	1
100000022	日本菜	1
100000022	桌球馆	4
100000022	汽车美容	4
100000022	洗浴	4
100000022	洗车	3
100000022	海鲜	3
100000022	游乐游艺	2
100000022	游泳馆	3
100000022	珠宝饰品	2
100000022	瑜伽	1
100000022	综合商场	1
100000022	网吧网咖	2
100000022	舞蹈	1
100000022	裁缝改衣	2
100000022	西服定制	5
100000022	西餐	1
100000022	豪华型	3
100000022	超市/便利店	1
100000022	足疗按摩	1
100000022	轰趴馆	1
100000022	运动户外	1
100000022	配件/车饰	3
100000022	酒吧	1
100000022	面包甜点	1
100000022	高档型	3
100000023	4S店/汽车销售	4
100000023	个性写真	1
100000023	云南菜	3
100000023	五星级酒店	3
100000023	停车场	1
100000023	健身中心	1
100000023	升学辅导	1
100000023	台湾菜	3
100000023	咖啡厅	1
100000023	四星级酒店	8
100000023	回收	2
100000023	婚戒首饰	1
100000023	婚车租赁	1
100000023	孕产护理	2
100000023	家政	2
100000023	家用电器	2
100000023	小吃快餐	4
100000023	展馆展览	1
100000023	快照/冲印	2
100000023	数码产品	4
100000023	新疆菜	1
100000023	旅行社	3
100000023	日本菜	2
100000023	景点	1
100000023	桌球馆	1
100000023	汽车租赁	1
100000023	汽车美容	5
100000023	洗车	1
100000023	游乐游艺	4
100000023	游泳馆	3
100000023	特色集市	2
100000023	珠宝饰品	4
100000023	瑜伽	2
100000023	粤菜	1
100000023	经济型	1
100000023	网吧网咖	3
100000023	蟹宴	2
100000023	衣物/皮具洗护	1
100000023	西餐	1
100000023	豪华型	3
100000023	超市/便利店	1
100000023	轰趴馆	1
100000023	青年旅舍	2
100000023	面包甜点	2
100000023	高档型	5
100000024	4S店/汽车销售	5
100000024	KTV	1
100000024	云南菜	3
100000024	五星级酒店	4
100000024	停车场	2
100000024	健身中心	1
100000024	公寓式酒店	1
100000024	其他	2
100000024	化妆品	2
100000024	台湾菜	2
100000024	四星级酒店	3
100000024	回收	2
100000024	婚戒首饰	4
100000024	婚纱礼服	1
100000024	家政	2
100000024	家用电器	5
100000024	小吃快餐	4
100000024	数码产品	2
100000024	文化艺术	1
100000024	新疆菜	2
100000024	旅行社	2
100000024	日本菜	1
100000024	更多运动场馆	1
100000024	桌球馆	2
100000024	水果生鲜	2
100000024	汽车美容	3
100000024	洗车	2
100000024	游乐游艺	1
100000024	游泳馆	3
100000024	特色集市	1
100000024	粤菜	2
100000024	经济型	1
100000024	综合商场	1
100000024	网吧网咖	4
100000024	美术培训	2
100000024	舞蹈	1
100000024	蟹宴	4
100000024	衣物/皮具洗护	1
100000024	裁缝改衣	1
100000024	西餐	1
100000024	豪华型	3
100000024	足疗按摩	2
100000024	运动户外	3
100000024	配件/车饰	1
100000024	青年旅舍	1
100000024	面包甜点	2
100000024	面馆	1
100000024	高档型	2
100000025	4S店/汽车销售	2
100000025	KTV	2
100000025	五星级酒店	1
100000025	停车场	2
100000025	其他	1
100000025	咖啡厅	1
100000025	婚戒首饰	1
100000025	婚纱礼服	1
100000025	婚车租赁	1
100000025	家政	5
100000025	家用电器	4
100000025	小吃快餐	1
100000025	展馆展览	2
100000025	川菜	2
100000025	数码产品	4
100000025	文化艺术	1
100000025	新疆菜	2
100000025	旅行社	8
100000025	桌球馆	1
100000025	水果生鲜	1
100000025	汽车美容	2
100000025	洗浴	1
100000025	洗车	1
100000025	游乐游艺	2
100000025	游泳馆	1
100000025	特色集市	1
100000025	珠宝饰品	4
100000025	瑜伽	1
100000025	粤菜	5
100000025	综合商场	2
100000025	网吧网咖	3
100000025	美术培训	2
100000025	羽毛球馆	2
100000025	蟹宴	3
100000025	衣物/皮具洗护	1
100000025	豪华型	3
100000025	超市/便利店	4
100000025	足疗按摩	1
100000025	轰趴馆	2
100000025	配件/车饰	2
100000025	酒吧	2
100000025	青年旅舍	1
100000025	面包甜点	3
100000025	面馆	1
100000025	高档型	7
100000026	KTV	4
100000026	个性写真	1
100000026	亲子购物	2
100000026	体检中心	1
100000026	停车场	2
100000026	健身中心	1
100000026	咖啡厅	1
100000026	四星级酒店	5
100000026	回收	1
100000026	婚戒首饰	4
100000026	家政	1
100000026	家用电器	2
100000026	小吃快餐	3
100000026	展馆展览	1
100000026	川菜	1
100000026	快照/冲印	4
100000026	数码产品	3
100000026	文化艺术	1
100000026	新疆菜	3
100000026	旅行社	4
100000026	更多购物场所	1
100000026	桌球馆	1
100000026	水果生鲜	1
100000026	江西菜	1
100000026	汽车美容	3
100000026	洗浴	1
100000026	游乐游艺	3
100000026	游泳馆	3
100000026	珠宝饰品	3
100000026	瑜伽	1
100000026	粤菜	2
100000026	经济型	1
100000026	网吧网咖	5
